7.3569 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
8.0669 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x12ee45898>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x12f115a90>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.3102 	EXP 	Created grating_S1_T5 = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask='circle', maskParams=None, name='grating_S1_T5', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([0.6, 0.6]), size=array([3.5, 3.5]), tex='sin', texRes=128, units='deg', win=Window(...))
8.3323 	EXP 	grating_S1_T5: phase = 0.0
8.3489 	EXP 	grating_S1_T5: phase = 0.0
8.3654 	EXP 	grating_S1_T5: phase = 0.0
8.3821 	EXP 	grating_S1_T5: phase = 0.0
8.3985 	EXP 	grating_S1_T5: phase = 0.0
8.4154 	EXP 	grating_S1_T5: phase = 0.0
8.4321 	EXP 	grating_S1_T5: phase = 0.0
8.4488 	EXP 	grating_S1_T5: phase = 0.0
8.4655 	EXP 	grating_S1_T5: phase = 0.0
8.4820 	EXP 	grating_S1_T5: phase = 0.0
8.4991 	EXP 	grating_S1_T5: phase = 0.0
8.5154 	EXP 	grating_S1_T5: phase = 0.0
8.5322 	EXP 	grating_S1_T5: phase = 0.0
8.5488 	EXP 	grating_S1_T5: phase = 0.0
8.5655 	EXP 	grating_S1_T5: phase = 0.0
8.5820 	EXP 	grating_S1_T5: phase = 0.0
8.5998 	EXP 	grating_S1_T5: phase = 0.0
8.6154 	EXP 	grating_S1_T5: phase = 0.0
8.6321 	EXP 	grating_S1_T5: phase = 0.0
8.6488 	EXP 	grating_S1_T5: phase = 0.0
8.6653 	EXP 	grating_S1_T5: phase = 0.0
8.6820 	EXP 	grating_S1_T5: phase = 0.0
8.6988 	EXP 	grating_S1_T5: phase = 0.0
8.7154 	EXP 	grating_S1_T5: phase = 0.0
8.7315 	EXP 	grating_S1_T5: phase = 0.0
8.7491 	EXP 	grating_S1_T5: phase = 0.0
8.7653 	EXP 	grating_S1_T5: phase = 0.0
8.7821 	EXP 	grating_S1_T5: phase = 0.0
8.7989 	EXP 	grating_S1_T5: phase = 0.0
8.8149 	EXP 	grating_S1_T5: phase = 0.0
8.8321 	EXP 	grating_S1_T5: phase = 0.5
8.8491 	EXP 	grating_S1_T5: phase = 0.5
8.8655 	EXP 	grating_S1_T5: phase = 0.5
8.8824 	EXP 	grating_S1_T5: phase = 0.5
8.8987 	EXP 	grating_S1_T5: phase = 0.5
8.9160 	EXP 	grating_S1_T5: phase = 0.5
8.9320 	EXP 	grating_S1_T5: phase = 0.5
